"Bait_Boolean","name","selected","shared name"
"0","CEP68","false","CEP68"
"0","CEP135","false","CEP135"
"0","PDE4DIP","false","PDE4DIP"
"0","CEP350","false","CEP350"
"0","GRIPAP1","false","GRIPAP1"
"0","GOLGB1","false","GOLGB1"
"0","GOLGA2","false","GOLGA2"
"0","GOLGA3","false","GOLGA3"
"0","TLE5","false","TLE5"
"0","TLE3","false","TLE3"
"0","TLE1","false","TLE1"
"0","CENPF","false","CENPF"
"0","RDX","false","RDX"
"0","PRKAR2B","false","PRKAR2B"
"0","PRKACA","false","PRKACA"
"0","PRKAR2A","false","PRKAR2A"
"0","CEP43","false","CEP43"
"0","PCNT","false","PCNT"
"0","HSBP1","false","HSBP1"
"0","CIT","false","CIT"
"0","TBKBP1","false","TBKBP1"
"1","Nsp13","false","Nsp13"
"0","PLEKHA5","false","PLEKHA5"
"0","PPIL3","false","PPIL3"
"0","TCF12","false","TCF12"
"0","RBM41","false","RBM41"
"0","LARP4B","false","LARP4B"
"0","ZC3H7A","false","ZC3H7A"
"0","USP54","false","USP54"
"0","CRTC3","false","CRTC3"
"0","ZNF318","false","ZNF318"
"0","UBAP2","false","UBAP2"
"0","PRRC2B","false","PRRC2B"
"0","PDZD11","false","PDZD11"
"0","TYSND1","false","TYSND1"
"0","UBAP2L","false","UBAP2L"
"0","RIPK1","false","RIPK1"
"0","SLU7","false","SLU7"
"0","MYCBP2","false","MYCBP2"
"0","AKAP8","false","AKAP8"
